day,high_ele_m,temp_day_c,temp_night_c,upper,lower,daypack,why,source
1,1400,24 至 28,15 至 19,速干短袖,薄速干裤,硬壳冲锋衣,市内休整日，不进山。季风尾声午后可能有阵雨，硬壳放包里。,sources/22
2,2860,12 至 18,6 至 11,速干长袖底层,薄速干裤,抓绒中层、硬壳冲锋衣,落地 Lukla 后一路下坡到 Phakding。午后正是对流降雨窗口，这个海拔落下来的是雨不是雪，硬壳放包最外层。,sources/22
3,3440,8 至 18,−3 至 2,速干长袖底层,薄速干裤,抓绒中层、硬壳冲锋衣、薄手套,"全程最陡的一天，总爬升 1,109m。起步别加中层，出汗比受冷危险；Namche 傍晚才掉到个位数。",sources/22
4,3860,8 至 13,−3 至 2,速干长袖底层,薄速干裤,抓绒中层、硬壳冲锋衣、羽绒服、保暖帽,先降到河谷再爬 600m。Tengboche 夜里在零度线附近，羽绒服从今天起每天带在身上。,sources/22
5,4410,5 至 12,−8 至 0,速干长袖底层 + 抓绒中层,厚保暖裤,硬壳冲锋衣、羽绒服、保暖帽、厚手套,"跨过 4,000m 线，过 Pangboche 后树线消失、一路没有遮挡。裤子今天换厚的，到下撤前不换回。",sources/22
6,5080,0 至 10,−8 至 0,速干长袖底层 + 抓绒中层,厚保暖裤,硬壳冲锋衣、羽绒服、保暖帽、厚手套,"适应日，爬到 Nangkartshang 山脊 5,080m 再回 4,410m 过夜。山脊是风口，村里 5–10°C，脊上接近 0°C。",sources/06 22
7,4940,0 至 10,−12 至 −6,保暖内衣底层 + 抓绒中层,厚保暖裤,硬壳冲锋衣、羽绒服、保暖帽、厚手套,夜温从今晚起明确转负，睡眠质量普遍变差。底层换成保暖内衣，睡觉另换干的一件。,sources/22
8,5364,−2 至 7,−15 至 −10,保暖内衣底层 + 抓绒中层 + 硬壳外层,厚保暖裤 + 保暖内裤,羽绒服、保暖帽、厚手套,往返 EBC 单程 3.9km，走在冰川风口，硬壳全天穿着挡风。到 EBC 停下拍照前先套羽绒。,sources/06 22
9,5545,凌晨 −15 上下（顶风体感 −25 以下）／午后 3 至 10,−8 至 −3,凌晨：保暖内衣底层 + 抓绒中层 + 羽绒服 + 硬壳外层。日出下撤后逐层脱到只剩长袖底层,厚保暖裤 + 保暖内裤,头灯；日出后脱下的各层全进包,"3:30–4:00 出发登 Kala Patthar 5,545m，之后下降 1,448m 到 Pheriche。上下半天温差 25°C 以上，是全程唯一要在路上大幅减衣的一天。",sources/06 22
10,4280,3 至 13,−3 至 2,速干长袖底层,薄速干裤,抓绒中层、硬壳冲锋衣、羽绒服,"长下降日，总下降 1,549m。起步在 Pheriche 只有 3–7°C，薄裤起步会冷、走半小时正好；到 Namche 已回到两位数。",sources/22
11,3440,8 至 17,5 至 10,速干长袖底层,薄速干裤,抓绒中层、硬壳冲锋衣,最后一个长日，7–8 小时。回到树线以下，气温与 D3 相当。,sources/22
12,2860,12 至 28,15 至 19,速干长袖底层，落地加德满都换短袖,薄速干裤,抓绒中层、硬壳冲锋衣,Lukla 清晨候机站着不动只有 5–10°C，落地加都升到 24–28°C，单日温差全程最大。,sources/22
