day,day_type,start_point,end_point,date,route,sleep_village,sleep_ele_m,start_ele_m,end_ele_m,hours,lodge_options,breakfast,lunch,dinner,food_lodging_usd_pp,notes,sources
1,转场,加德满都,加德满都,2026-09-25,国际航班抵达加德满都（TIA）→落地签过关、酒店入住→市内休整（不进山）,加德满都 Thamel,1400,1400,1400,—,壮丽酒店 / Hotel Vistara,机上简餐,加德满都市内自理,向导/背夫见面简报晚餐,14.7,11:00 落地 TIA→行前 2-3 天办好的电子签走 on arrival 窗口一两分钟过签→取行李转市区酒店入住。与向导/背夫见面核对次日进山交通：加都直飞固定翼、绕道 Ramechhap 固定翼、或直升机，取决于民航局旺季分流决定，订好后仍可能临时改变（sources/17）。Thamel 可租羽绒服/睡袋。早点休息，次日若绕道 Ramechhap 需凌晨 1-2 点出发,sources/01 12 17
2,徒步,Lukla,Phakding,2026-09-26,加德满都→Lukla（进山交通方式待定，见 sources/17）→徒步至 Phakding,Phakding,2610,2860,2610,3,See You Lodge / Hotel Snowland / Kala Patthar Lodge,加德满都酒店早餐（视航班时间可能打包带走）,起飞前在加德满都或 Lukla 解决,茶屋 dal bhat + 甜茶,16.2,进山交通尚未锁定：Bibek（Majestic Trails Nepal 向导）确认当前另一团订到的是加都直飞航班 但随时可能因民航局分流改道 Ramechhap（需凌晨出发、4-5 小时车程赶 6:00-11:00 窗口）或改直升机（sources/17 03）。落地 Lukla 先在镇尾市政站办 Khumbu 证,sources/03 06 04 14 17
3,徒步,Phakding,Namche Bazaar,2026-09-27,Phakding→Monjo（办 SNP 证）→Namche Bazaar,Namche Bazaar,3440,2610,3440,5-6,AD Friendship Lodge / Alpine Home,茶屋 porridge/吐司+鸡蛋+奶茶,Monjo 或 Jorsale 茶屋 dal bhat,茶屋 dal bhat / 炒饭,26.5,全程最难日子之一：Hillary 大桥后 600m 陡上。Monjo 公园门口办 Sagarmatha NP 证（NPR 3000 带护照）,sources/06 04
4,徒步,Namche Bazaar,Tengboche,2026-09-28,Namche→Tengboche,Tengboche,3860,3440,3860,4-5,Tengboche Guest House / Hotel Tashi Delek / Rivendell Lodge(Deboche 低100m更暖),茶屋早餐,Phunki Thenga 河谷茶屋（爬坡前）,茶屋 dal bhat / momo,21.3,先降到河谷再爬 600m。Tengboche 寺庙下午诵经可旁听。住宿紧张 请向导提前电话订,sources/06 07
5,徒步,Tengboche,Dingboche,2026-09-29,Tengboche→Pangboche→Dingboche,Dingboche,4410,3860,4410,5-6,Hotel Tashi Delek / Snow Lion / Good Luck Hotel,茶屋早餐,Pangboche 或 Somare 茶屋,茶屋晚餐（分量开始变小 价格变高）,22.1,跨过 4000m 线 呼吸明显变沉。过 Pangboche 后树线消失,sources/06 07
6,适应日,Dingboche,Dingboche,2026-09-30,Dingboche 适应日（Nangkartshang 山脊 约5080m 或 Chhukhung 方向）,Dingboche,4410,4410,4410,3-4,同前一晚,茶屋早餐,回 Dingboche 吃,茶屋晚餐,22.1,唯一保留的适应日 全程最容易出现高反的海拔段 绝不可省（EarthTrekkers 同伴在 KP 高反呕吐的教训）。血氧仪自查 头痛加重/呕吐即下撤,sources/06
7,徒步,Dingboche,Lobuche,2026-10-01,Dingboche→Dughla→Lobuche,Lobuche,4940,4410,4940,4-5,Oxygen Altitude Home / New EBC Guest House / Eco Lodge / Mother Earth House,茶屋早餐,Dughla 茶屋（坡底）,茶屋晚餐,23.5,Dughla 坡顶是登山者纪念碑群。今晚开始睡眠质量普遍变差 夜温可到 0°C 以下,sources/06 07
8,徒步,Lobuche,Gorak Shep,2026-10-02,Lobuche→Gorak Shep（放驼包）→EBC 5364m→返 Gorak Shep,Gorak Shep,5164,4940,5364,6-7,Gorakshep Yeti Resort / Everest Inn / Snowland Highest Inn,茶屋早餐,Gorak Shep 轻食（汤+米饭）,茶屋晚餐,25.0,登顶日之一：先到 Gorak Shep 午餐放包 再往返 EBC（单程3.9km）。EBC 本体是石堆+经幡 可见 Khumbu 冰瀑。Gorak Shep 全线条件最差 旺季最挤 务必提前订,sources/06 07
9,徒步,Gorak Shep,Pheriche,2026-10-03,凌晨 Kala Patthar 5545m 看珠峰日出→下撤 Pheriche,Pheriche,4280,5164,4280,7-9,Edelweiss / Himalayan Hotel,登顶后回茶屋吃,Lobuche 或 Dughla 茶屋,茶屋晚餐,25.0,3:30-4:00 出发 +380m 登 KP（全程最高点 看珠峰最佳位置）。KP 是全程高反最高发点 状态不好直接放弃登顶下撤。当天下降 1265m 身体立刻轻松,sources/06
10,徒步,Pheriche,Namche Bazaar,2026-10-04,Pheriche→Tengboche→Namche,Namche Bazaar,3440,4280,3440,6-7,同 D3,茶屋早餐,Tengboche 或 Phunki Thenga,茶屋晚餐（回到丰富菜单）,28.7,长下降日 注意膝盖 用登山杖。回到 Namche 可洗热水澡庆祝,sources/06 07
11,徒步,Namche Bazaar,Lukla,2026-10-05,Namche→Lukla,Lukla,2860,3440,2860,7-8,Lukla 茶屋（有热水淋浴的选项多）,茶屋早餐,Phakding 茶屋,茶屋晚餐 + 给向导背夫小费答谢,23.8,最后一个长日。晚上与向导确认次日航班 值机行李,sources/06
12,转场,Lukla,加德满都,2026-10-06,Lukla→Manthali 固定翼（早班）→拼车回加德满都（4-5h）,加德满都 Thamel,1400,2860,1400,—,"Thamel 中档酒店（NPR 5,460-8,400/间）",茶屋早餐,Manthali 或途中,加德满都庆功餐,14.7,航班 6:00-11:00 窗口 只飞上午。Manthali 落地后拼车回加都 车程按最长 7 小时计（有原路冲垮绕行的实例）。若天气取消：立即改直升机（拼机约 USD 404/人 有航司按原票价免费改的实例）保 10.7 国际段。傍晚抵 KTM,sources/02 03 12 14
