category,item,qty,priority,carry,acquire,notes,source
睡眠,睡袋（四季款 舒适温标 -10°C）,1,必备,驼包,国内自购 或 Thamel 租（¥7-14/天）,茶屋有毯子但高海拔不够暖且卫生差 与你们判断一致。9月底-10°C级别够用,sources/09-packing-gear-rental.md
睡眠,睡袋内胆（抓绒或真丝）,1,推荐,驼包,国内自购,隔脏+增温 应对茶屋卫生,sources/09-packing-gear-rental.md
上身,速干长袖底层,2,必备,驼包,国内自购,纯棉不可 出汗后失温,sources/09-packing-gear-rental.md
上身,速干短袖,1,必备,驼包,国内自购,低海拔白天穿,sources/09-packing-gear-rental.md
上身,保暖内衣套装（上+下）,2,必备,驼包,国内自购,4000m 以上睡觉+早晚穿,sources/09-packing-gear-rental.md
上身,抓绒中层,1,必备,随身,国内自购,行进中的主力保暖层,sources/09-packing-gear-rental.md
上身,厚羽绒服（700蓬+）,1,必备,驼包,Thamel 租（¥7-20/天）或自购,Lobuche 以上早晚和 KP 凌晨必须。租是零装备者最划算选项,sources/09-packing-gear-rental.md
上身,硬壳冲锋衣（防风防水）,1,必备,随身,国内自购,挡风挡雨雪 9月底季风尾巴可能遇雨,sources/09-packing-gear-rental.md
下身,徒步裤,2,必备,驼包,国内自购,一条厚（软壳）一条薄,sources/09-packing-gear-rental.md
下身,防水外裤,1,推荐,驼包,国内自购或 Thamel 买,雨雪天套穿,sources/09-packing-gear-rental.md
足部,高帮防水徒步靴,1,必备,穿着,国内自购 必须提前 4 周以上磨合,全程最重要单品 到 Thamel 现买新靴走 EBC 大概率磨出水泡,sources/09-packing-gear-rental.md
足部,羊毛徒步袜,4-5,必备,驼包,国内自购,棉袜不可,sources/09-packing-gear-rental.md
足部,营地鞋/运动鞋,1,推荐,驼包,国内自购,晚上在茶屋放松脚,sources/09-packing-gear-rental.md
头手,保暖帽+遮阳帽+Buff围脖,各1,必备,随身,国内自购,Buff 兼防尘（土路骡队扬尘）。更硬的理由是防昆布咳：刚上高海拔时吸入太多干冷空气会引发持续干咳 全程护住口鼻,sources/09-packing-gear-rental.md sources/14-xiaohongshu-field-intel.md
头手,手套（薄抓绒+厚防水各一副）,2,必备,随身,国内自购,KP 凌晨体感可到 -15°C 量级,sources/09-packing-gear-rental.md
头手,太阳镜（UV400 3级以上）,1,必备,随身,国内自购,高海拔紫外线+可能的雪面反光,sources/09-packing-gear-rental.md
装备,头灯+备用电池,1,必备,随身,国内自购,KP 凌晨出发+茶屋停电+夜间上厕所,sources/09-packing-gear-rental.md
装备,登山杖,1对,必备,随身,Thamel 租/买,下降 1200m+ 的日子救膝盖,sources/09-packing-gear-rental.md
装备,日用背包 25-30L（带防雨罩）,1,必备,随身,国内自购,装水+零食+加层+贵重品,sources/09-packing-gear-rental.md
装备,驼包 duffel 80-90L,1,必备,背夫背,旅行社通常提供 确认即可,≤10-12kg/人（固定翼托运限 10kg 也是这个数）,sources/09-packing-gear-rental.md
装备,水袋/保温水瓶 合计 2-3L,1套,必备,随身,国内自购,高处只灌开水 保温瓶重要,sources/09-packing-gear-rental.md
装备,净水片或过滤器,1,必备,随身,国内自购,替代 ¥20-34/瓶的瓶装水 12 天能省 ¥680+,sources/07-costs-lodging-food.md
防护,防晒霜 SPF50+ 和唇膏,各1,必备,随身,国内自购,高海拔晒伤极快,sources/09-packing-gear-rental.md
药品,Diamox（乙酰唑胺）,1盒,必备,随身,行前咨询医生开 或加德满都药房,预防急性高山病的标准用药 出发前先试敏。国内按处方买（限购）加德满都药房约 NPR 100/板 山上 Namche 或 Dingboche 约 NPR 500/板 且随时可能关门。按 4000m 以上每天 2 粒备量 睡前半粒预防 有症状 1 粒。配氯化钾同服可明显缓解手脚麻,sources/09-packing-gear-rental.md sources/14-xiaohongshu-field-intel.md
药品,布洛芬/肠胃药/口服补液盐/创可贴/广谱抗生素,1套,必备,随身,国内自购（抗生素遵医嘱）,高原头痛+肠胃是最常见问题。另带晕车药：Lukla 小飞机噪音大晃动大 直升机与山路同样需要,sources/09-packing-gear-rental.md sources/14-xiaohongshu-field-intel.md
药品,指夹式血氧仪,1,推荐,随身,国内自购,每天早晚自查 客观判断适应情况。智能手表读数偏差可能很大（有实例手表读 95 医院实测约 80）独立血氧仪不可用手表替代,sources/09-packing-gear-rental.md sources/14-xiaohongshu-field-intel.md
电子,充电宝 20000mAh,1-2,必备,随身,国内自购,山上充电 ¥10-27/次 自带电省钱,sources/07-costs-lodging-food.md
电子,插头转换器（尼泊尔 C/D/M 型）,1,必备,驼包,国内自购,,sources/09-packing-gear-rental.md
证件,护照+复印件2份+证件照4张,1套,必备,随身,—,办两个许可证要用。行前 2-3 天在线申请电子签 落地走 on arrival 窗口凭截图过签。另备 1 寸照片办 Ncell 电话卡 没带加收 NPR 50,sources/01-visa.md sources/04-permits.md sources/14-xiaohongshu-field-intel.md
现金,NPR 50000-80000（加德满都换好）,1,必备,随身分开放,加德满都 Thamel 换汇（人民币可直接换）,山上无可靠 ATM Namche 两台常故障 勿依赖,sources/07-costs-lodging-food.md
其它,耳塞+眼罩,1套,推荐,驼包,国内自购,茶屋木板墙隔音差,sources/09-packing-gear-rental.md
其它,卫生纸/湿巾/免洗洗手液/速干毛巾,1套,必备,驼包,国内自购或沿途买（越高越贵）,茶屋不提供卫生纸。湿巾与湿厕纸按消耗品多带 一次性内裤同理（全程洗澡机会少）,sources/09-packing-gear-rental.md sources/14-xiaohongshu-field-intel.md
其它,能量棒/坚果/电解质冲剂,12天量,推荐,驼包,国内自购,高海拔没胃口时的热量兜底。另带葡萄糖粉与 VC 泡腾片 多位徒步者反馈对缓解高反有感,sources/09-packing-gear-rental.md sources/14-xiaohongshu-field-intel.md
